State,Post Office Abbreviation,bachelors.1990,bachelors.2000
,,,
Alabama,AL,15.7,19.0
Alaska,AK,23.0,24.7
Arizona,AZ,20.3,23.5
Arkansas,AR,13.3,16.7
California,CA,23.4,26.6
Colorado,CO,27.0,32.7
Connecticut,CT,27.2,31.4
Delaware,DE,21.4,25.0
District of Columbia,DC,33.3,39.1
Florida,FL,18.3,22.3
Georgia,GA,19.3,24.3
Hawaii,HI,22.9,26.2
Idaho,ID,17.7,21.7
Illinois,IL,21.0,26.1
Indiana,IN,15.6,19.4
Iowa,IA,16.9,21.2
Kansas,KS,21.1,25.8
Kentucky,KY,13.6,17.1
Louisiana,LA,16.1,18.7
Maine,ME,18.8,22.9
Maryland,MD,26.5,31.4
Massachusetts,MA,27.2,33.2
Michigan,MI,17.4,21.8
Minnesota,MN,21.8,27.4
Mississippi,MS,14.7,16.9
Missouri,MO,17.8,21.6
Montana,MT,19.8,24.4
Nebraska,NE,18.9,23.7
Nevada,NV,15.3,18.2
New Hampshire,NH,24.4,28.7
New Jersey,NJ,24.9,29.8
New Mexico,NM,20.4,23.5
New York,NY,23.1,27.4
North Carolina,NC,17.4,22.5
North Dakota,ND,18.1,22.0
Ohio,OH,17.0,21.1
Oklahoma,OK,17.8,20.3
Oregon,OR,20.6,25.1
Pennsylvania,PA,17.9,22.4
Rhode Island,RI,21.3,25.6
South Carolina,SC,16.6,20.4
South Dakota,SD,17.2,21.5
Tennessee,TN,16.0,19.6
Texas,TX,20.3,23.2
Utah,UT,22.3,26.1
Vermont,VT,24.3,29.4
Virginia,VA,24.5,29.5
Washington,WA,22.9,27.7
West Virginia,WV,12.3,14.8
Wisconsin,WI,17.7,22.4
Wyoming,WY,18.8,21.9